blind_id,attack_type,environment_type,difficulty,narrative,attack_stages_and_techniques,stage_count
ADV-858FF409BE,APT,Cloud Infrastructure,Medium,"APT35 targets a cloud-native SaaS startup to steal sensitive intellectual property. Utilizing low operational security tactics, they employ active scanning and phishing to gain initial access and establish persistence within the target's infrastructure.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1566.001 Phishing - Spear Phishing Attachment | 3. Persistence: T1078 Valid Accounts, T1548.001 Abuse Elevation Control Mechanism - Elevation of Privilege | 4. Collection: T1005 Data from Local System, T1560 Archive Collected Data",4
ADV-CF6E358E00,APT,ICS,Hard,An advanced persistent threat targets an industrial control system to disrupt operations and gain unauthorized access to sensitive data.,"1. Reconnaissance: T1595 Active Scanning, T1083 File and Directory Discovery | 2. Initial Access: T1566 Phishing, T1203 Exploitation for Client Execution | 3. Execution: T1203 Exploitation for Client Execution, T1059 Command and Scripting Interpreter | 4. Persistence: T1078 Valid Accounts, T1136 Create Account | 5. Command and Control: T1071 Application Layer Protocol, T1090 Connection Proxy | 6. Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1048 Exfiltration Over Alternative Protocol",6
ADV-29E14D6D4B,Ransomware,Cloud Infrastructure,Hard,"A sophisticated adversary targets a cloud infrastructure provider, aiming to execute a ransomware attack. The attacker conducts reconnaissance to identify vulnerabilities, gains initial access through phishing, escalates privileges, and finally deploys ransomware to encrypt critical data and demand a ransom for decryption keys.","1. Reconnaissance: T1595 Active Scanning, T1592 Gather Victim Identity Information | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Privilege Escalation: T1068 Execution with Privileged Account | 4. Execution: T1486 Data Encrypted for Impact | 5. Impact: T1490 Inhibit System Recovery",5
ADV-DCFF87F783,Insider Threat,ICS,Hard,An insider with privileged access to the ICS environment conducts a series of actions to compromise critical systems and exfiltrate sensitive data.,"1. Reconnaissance: T1595 Active Scanning, T1087 Account Discovery | 2. Initial Access: T1078 Valid Accounts, T1069 Permission Groups Discovery | 3. Execution: T1059 Command and Scripting Interpreter, T1203 Exploitation for Client Execution | 4. Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1048 Exfiltration Over Alternative Protocol",4
ADV-D2F2A3FD48,Insider Threat,Enterprise Network,Easy,"Charming Kitten targets a law firm to gain access to sensitive client information and intellectual property. Utilizing insider threats, they conduct phishing campaigns to harvest credentials from unsuspecting employees.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Phishing: Spear Phishing Link, T1078 Valid Accounts | 3. Credential Harvesting: T1110.001 Brute Force: Password Guessing | 4. Exfiltration: T1041 Exfiltration Over Command and Control Channel",4
ADV-F741000ABB,APT,Enterprise Network,Medium,The Sandworm group targets government and defense contractors to establish persistent access for long-term intelligence collection. They employ a series of stealthy techniques to ensure their implants remain undetected over extended periods.,"1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1566.001 Phishing: Spear Phishing Attachment | 3. Persistence: T1543 Create or Modify System Process, T1547 Startup Item | 4. Command and Control: T1071 Application Layer Protocol, T1071.001 Application Layer Protocol: Web Protocols",4
ADV-F83F8E3C87,Insider Threat,ICS,Medium,"Charming Kitten targets a major automotive supply chain company to steal sensitive intellectual property. Utilizing insider access, they deliver a destructive payload while maintaining low noise and operational security.",1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1078 Valid Accounts | 3. Execution: T1203 Exploitation for Client Execution | 4. Impact: T1485 Data Destruction,4
ADV-B328944C9E,Phishing,Healthcare,Hard,"An advanced persistent threat group conducts a multi-stage attack on a healthcare organization, starting with reconnaissance to identify potential targets, followed by a phishing campaign to gain initial access, and culminating in credential harvesting and lateral movement within the network.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Credential Access: T1110 Brute Force, T1543 Create or Modify System Process | 4. Lateral Movement: T1021 Remote Services, T1550.002 Pass the Hash",4
ADV-D1D48E2E74,APT,ICS,Easy,APT28 targets the power grid's supply chain to introduce vulnerable components that allow for downstream exploitation. The group employs living-off-the-land techniques to minimize detection while rapidly executing their plan under time pressure.,1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Phishing - Spear Phishing Attachment | 3. Execution: T1059.001 Command and Scripting Interpreter - PowerShell | 4. Persistence: T1547.001 Startup Items,4
ADV-93060DA2EA,APT,Cloud Infrastructure,Easy,An attacker targets a cloud infrastructure provider to gain access to sensitive data by utilizing social engineering and exploiting misconfigurations in cloud services.,"1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1059 Command and Scripting Interpreter",3
ADV-597CD136C1,Phishing,Cloud Infrastructure,Hard,"An attacker targets a cloud infrastructure provider by conducting a phishing campaign aimed at gaining access credentials to cloud accounts, leading to data exfiltration and further exploitation of the cloud environment.","1. Reconnaissance: T1595 Active Scanning, T1583 Acquire Infrastructure | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Credential Access: T1110 Brute Force, T1552.001 Credentials In Files | 4. Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1020 Automated Exfiltration",4
ADV-17998624DB,APT,Enterprise Network,Medium,"The Sandworm threat actor targets a law firm to infiltrate their systems, attempting to poison their supply chain to impact downstream clients. Utilizing a combination of social engineering and credential harvesting, they aim to gain initial access while maintaining a balance of speed and stealth.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Phishing: Spear Phishing Link, T1078 Valid Accounts | 3. Credential Harvesting: T1110.001 Brute Force: Password Guessing, T1552.001 Unsecured Credentials: Credentials in Files | 4. Supply Chain Compromise: T1195.001 Supply Chain Compromise: Compromise Software Supply Chain",4
ADV-172020B26D,Ransomware,Cloud Infrastructure,Medium,"An attacker targets a cloud infrastructure environment, exploiting vulnerabilities through reconnaissance, gaining initial access, and deploying ransomware to encrypt critical data.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1059 Command and Scripting Interpreter | 4. Impact: T1486 Data Encrypted for Impact",4
ADV-27726A1125,Insider Threat,Cloud Infrastructure,Hard,"An insider threat actor within a cloud infrastructure environment conducts reconnaissance to identify sensitive data, exploits access to gain initial access, and manipulates cloud resources for data exfiltration.","1. Reconnaissance: T1595 Active Scanning, T1087 Account Discovery | 2. Initial Access: T1078 Valid Accounts, T1566 Phishing | 3. Execution: T1059 Command and Scripting Interpreter, T1059.001 PowerShell | 4. Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1048 Exfiltration Over Alternative Protocol",4
ADV-A58C1974D9,APT,Healthcare,Hard,"The Lazarus Group conducts a sophisticated APT campaign targeting a hospital emergency department to gain persistent access for long-term intelligence collection. Using a mix of stealthy techniques, they aim to implant malware that enables continuous monitoring of sensitive healthcare data.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Phishing: Spear Phishing Attachment, T1078 Valid Accounts | 3. Persistence: T1547.001 Startup Items: Registry Run Keys / Startup Folder, T1136 Create Account | 4. Command and Control: T1071.001 Application Layer Protocol: Web Protocols, T1095 Non-Application Layer Protocol",4
ADV-228867A335,Ransomware,Enterprise Network,Easy,"An attacker targets a small enterprise network, conducting reconnaissance to identify vulnerable systems, gaining initial access through phishing, escalating privileges, and deploying ransomware to encrypt files on critical systems.",1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing | 3. Execution: T1203 Exploitation for Client Execution | 4. Privilege Escalation: T1068 Elevated Execution with Privileged Credentials | 5. Impact: T1486 Data Encrypted for Impact,5
ADV-E173418C4C,Insider Threat,Healthcare,Medium,"The Sandworm group has infiltrated a pharmaceutical company through an insider, leveraging compromised credentials to gather sensitive information. Their campaign focuses on maintaining persistent access while conducting surveillance on research and development efforts.",1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Phishing: Spear Phishing Attachment | 3. Credential Access: T1078.001 Valid Accounts: Local Accounts | 4. Lateral Movement: T1021.001 Remote Services: Remote Desktop Protocol,4
ADV-D65302B796,Phishing,Cloud Infrastructure,Hard,An attacker conducts a multi-stage phishing attack targeting cloud infrastructure to gain unauthorized access and exfiltrate sensitive data.,"1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Credential Access: T1078 Valid Accounts, T1110 Brute Force | 4. Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1048 Exfiltration Over Alternative Protocol",4
ADV-B79E672C31,Insider Threat,Enterprise Network,Hard,"Kimsuky targets a law firm with low operational security, leveraging insider knowledge for lateral movement. The goal is to deploy ransomware for extortion, exploiting weak access controls and unpatched systems.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Phishing: Spear Phishing Link | 3. Lateral Movement: T1078 Valid Accounts, T1021.001 Remote Services: Remote Desktop Protocol | 4. Exfiltration and Ransomware Deployment: T1041 Exfiltration Over Command and Control Channel, T1486 Data Encrypted for Impact",4
ADV-2579517B32,Insider Threat,Cloud Infrastructure,Medium,"An insider with access to the company's cloud infrastructure begins to gather intelligence on sensitive data and system configurations, eventually leveraging their access to exfiltrate critical information.","1. Reconnaissance: T1595 Active Scanning, T1087 Account Discovery | 2. Initial Access: T1078 Valid Accounts, T1566 Phishing | 3. Data Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1020 Automated Exfiltration",3
ADV-336BB0B923,APT,Healthcare,Medium,"Kimsuky targets hospital emergency departments by infiltrating software supply chains to gain persistent access for intelligence collection. Utilizing their high operational security, they execute a slow and patient approach, ensuring low noise during the attack.",1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Phishing: Spear Phishing Link | 3. Execution: T1203 Exploitation for Client Execution | 4. Persistence: T1543.002 Create or Modify System Process: Windows Service,4
ADV-308EE463DE,Insider Threat,Enterprise Network,Hard,"An employee with privileged access begins to exploit their position to exfiltrate sensitive data for personal gain. The attack unfolds in multiple stages, starting with reconnaissance and culminating in data exfiltration.","1. Reconnaissance: T1595 Active Scanning, T1087 Account Discovery | 2. Initial Access: T1078 Valid Accounts, T1059.001 PowerShell | 3. Persistence: T1136 Create Account, T1053 Scheduled Task | 4. Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1048 Exfiltration Over Alternative Protocol",4
ADV-2387A39A4E,Ransomware,Enterprise Network,Medium,An attacker conducts a multi-stage ransomware attack on an enterprise network starting with reconnaissance and culminating in data encryption and ransom demands.,1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing | 3. Execution: T1203 Exploitation for Client Execution | 4. Data Encrypted: T1486 Data Encrypted for Impact,4
ADV-091AC7E718,Insider Threat,Cloud Infrastructure,Easy,"An employee with legitimate access begins to collect information about sensitive resources in the cloud infrastructure, ultimately leading to unauthorized access and data exfiltration.","1. Reconnaissance: T1595 Active Scanning, T1087 Account Discovery | 2. Initial Access: T1078 Valid Accounts | 3. Data Exfiltration: T1041 Exfiltration Over Web Service",3
ADV-43448EC33B,Ransomware,Enterprise Network,Medium,"In a coordinated attack against a major retail payment processing firm, Sandworm leveraged their access to exploit vulnerabilities and move laterally across systems. Their objective was to deploy ransomware and cause widespread disruption to critical infrastructure, all while executing the attack with low operational security.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1566.001 Phishing: Spear Phishing Link | 3. Lateral Movement: T1078 Valid Accounts, T1021 Remote Services | 4. Command and Control: T1071 Application Layer Protocol, T1102 Web Service",4
ADV-130B8C0B65,APT,Healthcare,Medium,"An advanced persistent threat group targets a healthcare organization to steal sensitive patient data and disrupt services. The attack unfolds in a series of stages, starting with reconnaissance to gather information about the organization's network and personnel, followed by initial access via phishing attacks, and culminating in data exfiltration and impact on healthcare services.","1. Reconnaissance: T1595 Active Scanning, T1583 Acquire Infrastructure | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1059 Command and Scripting Interpreter, T1203 Exploitation for Client Execution | 4. Data Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1567 Exfiltration Over Web Service | 5. Impact: T1486 Data Encrypted for Impact, T1499 Endpoint Denial of Service",5
ADV-B6C82F9C4E,Ransomware,Healthcare,Medium,"The Charming Kitten threat group targets a hospital emergency department, aiming to deploy ransomware for extortion purposes. Utilizing high operational security, they manipulate identities and abuse cloud services to gain access.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Phishing: Spear Phishing Attachment, T1078 Valid Accounts | 3. Execution: T1203 Exploitation for Client Execution | 4. Impact: T1486 Data Encrypted for Impact",4
ADV-104421C9EC,Insider Threat,ICS,Hard,"Charming Kitten has infiltrated a critical infrastructure facility, leveraging insider knowledge to gather sensitive data. The campaign aims to prepare for a destructive attack on the power grid while maintaining low operational security.",1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1078 Valid Accounts | 3. Data Collection: T1005 Data from Local System | 4. Exfiltration: T1041 Exfiltration Over Command and Control Channel,4
ADV-1C75A1170D,Ransomware,Healthcare,Medium,"An attacker targets a healthcare organization to deploy ransomware, starting with reconnaissance to identify potential vulnerabilities, followed by initial access through phishing, and culminating in the encryption of critical patient data.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1203 Exploitation for Client Execution | 4. Impact: T1486 Data Encrypted for Impact",4
ADV-04EEFD39F2,Phishing,Healthcare,Hard,An attacker targets a healthcare organization by first gathering information about employees and then launching a sophisticated phishing attack to gain access to sensitive patient data.,"1. Reconnaissance: T1595 Active Scanning, T1087 Account Discovery | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Credential Access: T1056 Input Capture, T1110 Brute Force | 4. Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1048 Exfiltration Over Alternative Protocol",4
ADV-37947ECE64,Phishing,Healthcare,Easy,"APT35 conducts a phishing campaign targeting pharmaceutical companies to infiltrate their supply chains. By leveraging existing software tools and maintaining a low profile, they aim to manipulate downstream targets without detection.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Phishing: Spear Phishing Link, T1566.002 Phishing: Spear Phishing Attachment | 3. Execution: T1203 Exploitation for Client Execution | 4. Persistence: T1078 Valid Accounts",4
ADV-122B15D2A0,Ransomware,Cloud Infrastructure,Hard,"An advanced persistent threat group conducts a multi-stage ransomware attack against a cloud infrastructure provider, leveraging a variety of techniques to gain access, escalate privileges, and execute their malicious payload.","1. Reconnaissance: T1595 Active Scanning, T1083 File and Directory Discovery | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1486 Data Encrypted for Impact, T1059 Command and Scripting Interpreter | 4. Persistence: T1136 Create Account, T1543 Create or Modify System Process | 5. Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1048 Exfiltration Over Alternative Protocol",5
ADV-F0FBDC98EB,Phishing,Cloud Infrastructure,Easy,An attacker conducts a phishing campaign targeting employees of a cloud service provider to gain unauthorized access to sensitive information and resources.,"1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1071 Application Layer Protocol, T1212 Exploitation for Client Execution",3
ADV-05BF79C61E,Insider Threat,Healthcare,Easy,"An employee in a healthcare organization exploits their access to sensitive patient data for personal gain, leading to data theft and potential breaches of patient confidentiality.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1078 Valid Accounts | 3. Data Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1567 Exfiltration Over Web Service",3
ADV-C729915AA3,Phishing,Healthcare,Easy,An attacker targets a healthcare organization by sending a phishing email to gain initial access to the network. The attacker gathers information about potential targets and uses this information to create a convincing email that appears to come from a trusted source within the organization.,"1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Credential Access: T1110 Brute Force, T1552 Unsecured Credentials",3
ADV-07038D52DA,Ransomware,Enterprise Network,Easy,"An attacker targets an enterprise network to deploy ransomware, starting with reconnaissance to identify vulnerable systems and ending with data encryption and ransom demand.",1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing | 3. Execution: T1203 Exploitation for Client Execution | 4. Impact: T1486 Data Encrypted for Impact,4
ADV-AEBFF549A2,Phishing,Healthcare,Easy,An attacker targets a healthcare organization by leveraging phishing emails to gain initial access to sensitive systems and patient data.,"1. Reconnaissance: T1595 Active Scanning, T1087 Account Discovery | 2. Initial Access: T1566 Phishing, T1071 Application Layer Protocol | 3. Credential Access: T1566.001 Phishing: Spear Phishing Link, T1078 Valid Accounts",3
ADV-7CBB7965C0,Phishing,Enterprise Network,Easy,"An attacker targets an enterprise network by sending a phishing email to employees, leading to credential theft and further exploitation of the network.","1. Reconnaissance: T1595 Active Scanning, T1087 Account Discovery | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Credential Access: T1110 Brute Force, T1203 Exploitation for Client Execution",3
ADV-E81B68B9C0,Ransomware,Enterprise Network,Easy,The Mustang Panda threat actor targets a media organization to collect sensitive information and disrupt operations through ransomware. They leverage high operational security to maintain stealth while executing a slow and methodical attack.,"1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Phishing: Spear Phishing Attachment, T1078 Valid Accounts | 3. Execution: T1203 Exploitation for Client Execution | 4. Impact: T1486 Data Encrypted for Impact",4
ADV-D20C7F6FD6,Insider Threat,Enterprise Network,Easy,"An insider employee with access to sensitive data begins by scanning the network to identify vulnerable systems, then uses their legitimate access to exfiltrate data for personal gain.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1078 Valid Accounts, T1566 Phishing | 3. Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1020 Automated Exfiltration",3
ADV-F73BC4A5DA,APT,Cloud Infrastructure,Medium,"An advanced persistent threat actor targets a cloud infrastructure to exfiltrate sensitive data over several stages, starting from reconnaissance to data exfiltration.","1. Reconnaissance: T1595 Active Scanning, T1046 Network Service Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1203 Exploitation for Client Execution, T1059 Command and Scripting Interpreter | 4. Persistence: T1547 Boot or Logon Autostart Execution | 5. Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1048 Exfiltration Over Alternative Protocol",5
ADV-1E2C3F7D1C,Ransomware,Cloud Infrastructure,Hard,"A sophisticated ransomware attack targeting a cloud infrastructure, leveraging multiple stages to gain access, escalate privileges, and ultimately encrypt sensitive data for ransom.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1059 Command and Scripting Interpreter | 4. Persistence: T1136 Create Account | 5. Exfiltration: T1041 Exfiltration Over Command and Control Channel | 6. Impact: T1486 Data Encrypted for Impact",6
ADV-902389E9F5,Ransomware,ICS,Easy,"An adversary targets an ICS environment, conducting reconnaissance to identify vulnerabilities, gaining initial access through phishing, and deploying ransomware to disrupt operations.","1. Reconnaissance: T1595 Active Scanning, T1583 Acquire Infrastructure | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1059 Command and Scripting Interpreter, T1486 Data Encrypted for Impact",3
ADV-1819745172,Phishing,ICS,Medium,"APT29 targets a water treatment facility through a sophisticated phishing campaign. Utilizing legitimate credentials obtained from spear phishing, they gain persistent access to the ICS environment to conduct long-term intelligence collection while maintaining a low profile.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1566.001 Phishing: Spear Phishing Attachment | 3. Credential Access: T1078 Valid Accounts, T1555 Credentials from Password Stores | 4. Persistence: T1543 Create or Modify System Process, T1547 Boot or Logon Autostart Execution",4
ADV-87D484DBB1,APT,Cloud Infrastructure,Hard,APT41 targets a cloud-native SaaS startup to exfiltrate sensitive financial data for monetary gain. The group employs living-off-the-land techniques to evade detection while manipulating business email for financial theft.,"1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1566.001 Phishing: Spear Phishing Attachment | 3. Execution: T1059 Command and Scripting Interpreter, T1059.003 Command and Scripting Interpreter: Windows Command Shell | 4. Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1071 Application Layer Protocol, T1071.001 Application Layer Protocol: Web Protocols",4
ADV-C21292650C,Ransomware,Enterprise Network,Easy,"Cozy Bear conducts a ransomware attack on a military contractor, focusing on stealthy initial access and credential harvesting to disrupt critical infrastructure. The attack employs a patient, low-noise approach to maintain operational security while executing the ransomware payload.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Spear Phishing, T1566.001 Spear Phishing Attachment | 3. Credential Access: T1078 Valid Accounts, T1110 Brute Force | 4. Execution: T1203 Exploitation for Client Execution, T1486 Data Encrypted for Impact",4
ADV-3880166C1A,Insider Threat,Healthcare,Easy,The Lazarus Group targets a hospital's emergency department by infiltrating the supply chain to compromise software updates. Their goal is to deploy ransomware that will extort the healthcare facility for financial gain while maintaining a low profile.,1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Phishing: Spear Phishing Link | 3. Execution: T1203 Exploitation for Client Execution | 4. Impact: T1486 Data Encrypted for Impact,4
ADV-AA3D2DB04A,APT,ICS,Easy,"The Lazarus Group has targeted a water treatment facility aiming to deploy ransomware for extortion. Utilizing living-off-the-land techniques, they exploit existing tools within the environment while maintaining a moderate operational security posture.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1078.001 Valid Accounts, T1566.001 Phishing: Spear Phishing Attachment | 3. Execution: T1218.011 Signed Binary Proxy Execution: Regsvr32, T1059.001 Command and Scripting Interpreter: Windows Command Shell | 4. Data Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1071.001 Application Layer Protocol: Web Protocols",4
ADV-6DEA3FDBC3,Ransomware,Cloud Infrastructure,Medium,"An attacker targets a cloud infrastructure provider to deploy ransomware, starting with reconnaissance to identify potential vulnerabilities and moving through initial access, execution, and data encryption stages.","1. Reconnaissance: T1595 Active Scanning, T1592 Gather Victim Identity Information | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1203 Exploitation for Client Execution, T1059 Command and Scripting Interpreter | 4. Data Encryption: T1486 Data Encrypted for Impact",4
ADV-22A741209D,Insider Threat,Healthcare,Medium,"An employee at a healthcare organization exploits their access to sensitive patient data for personal gain, leading to a data breach that impacts patient privacy and organizational integrity.","1. Reconnaissance: T1595 Active Scanning, T1087 Account Discovery | 2. Initial Access: T1078 Valid Accounts, T1021.001 Remote Desktop Protocol | 3. Data Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1020 Automated Exfiltration",3
ADV-27537B25D7,APT,Healthcare,Medium,"An advanced persistent threat group targets a healthcare organization, aiming to steal patient data and disrupt services by leveraging social engineering and sophisticated cyber tactics.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1041 Exfiltration Over Command and Control Channel, T1203 Exploitation for Client Execution | 4. Persistence: T1136 Create Account | 5. Exfiltration: T1041 Exfiltration Over Command and Control Channel",5
ADV-6AF5DF650B,APT,Cloud Infrastructure,Easy,"In a targeted campaign against a cloud-native SaaS startup, Sandworm employs a series of sophisticated techniques to gain initial access and harvest credentials. The operation is characterized by high operational security and a focus on stealth to avoid detection.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Phishing: Spear Phishing Link, T1190 Exploit Public-Facing Application | 3. Credential Harvesting: T1078 Valid Accounts, T1056.001 Input Capture: Keylogging | 4. Command and Control: T1071.001 Application Layer Protocol: Web Protocols, T1041 Exfiltration Over Command and Control Channel",4
ADV-A48DB07D37,Ransomware,Healthcare,Hard,"In a targeted campaign against a leading pharmaceutical company, Sandworm employs a series of sophisticated techniques to infiltrate systems and deploy ransomware. The threat actor utilizes living-off-the-land tactics to evade detection while aiming for financial theft through business email compromise.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1566.001 Malicious Link | 3. Execution: T1059 Command and Scripting Interpreter, T1059.001 PowerShell | 4. Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1048 Exfiltration Over Other Network Medium",4
ADV-A79F23042C,Phishing,Enterprise Network,Medium,APT35 targets a media organization through a cunning phishing campaign aimed at harvesting login credentials from employees. The attack is designed to move quickly and create misdirection to facilitate the exfiltration of sensitive financial information.,"1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1566.001 Phishing: Spear Phishing Link | 3. Credentials Access: T1078 Valid Accounts | 4. Exfiltration: T1041 Exfiltration Over Command and Control Channel",4
ADV-E15F8A0985,Ransomware,Cloud Infrastructure,Medium,"APT41 targets a cloud-native SaaS startup to deploy ransomware, aiming for financial theft through business email compromise. Utilizing moderate operational security, they exploit vulnerabilities before delivering a destructive payload.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Phishing: Spear Phishing Attachment, T1078 Valid Accounts | 3. Execution: T1203 Exploitation for Client Execution, T1059.001 Command and Scripting Interpreter: PowerShell | 4. Impact: T1486 Data Encrypted for Impact, T1489 Impact",4
ADV-469CEB0044,Insider Threat,Healthcare,Easy,"An employee in a healthcare facility exploits their access to sensitive patient data for personal gain, leading to a data breach involving confidential information.","1. Reconnaissance: T1595 Active Scanning, T1087 Account Discovery | 2. Initial Access: T1078 Valid Accounts, T1041 Exfiltration Over Command and Control Channel | 3. Data Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1567 Exfiltration Over Web Service",3
ADV-566CB09FC3,Insider Threat,ICS,Medium,"An insider at an industrial control system facility, motivated by personal grievances, conducts a series of actions to exploit vulnerabilities and gain unauthorized access to critical systems, ultimately leading to a data breach and system disruption.","1. Reconnaissance: T1595 Active Scanning, T1087 Account Discovery | 2. Initial Access: T1078 Valid Accounts, T1566 Phishing | 3. Execution: T1059 Command-Line Interface, T1203 Exploitation for Client Execution | 4. Impact: T1485 Data Destruction, T1499 Impact",4
ADV-FE932584DF,Phishing,ICS,Medium,"The Sandworm threat actor targets a water treatment facility using a sophisticated phishing campaign aimed at infiltrating cloud services connected to the facility's operations. By exploiting identity manipulation techniques, they attempt to poison the supply chain to reach downstream targets effectively.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1566.001 Phishing: Spear Phishing Attachment | 3. Credential Access: T1078 Valid Accounts | 4. Privilege Escalation: T1055 Process Injection",4
ADV-45FE1D5BC3,Insider Threat,ICS,Medium,"In this campaign, APT41 leverages insider access to establish persistent footholds within a water treatment facility's ICS environment. The objective is to facilitate financial theft and execute business email compromise through stealthy, long-term implant strategies.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566.001 Phishing: Spear Phishing Link, T1078.001 Valid Accounts: Default Accounts | 3. Persistence: T1543.003 Create or Modify System Process: Windows Service, T1053.005 Scheduled Task/Job: Scheduled Task | 4. Exfiltration: T1041 Exfiltration Over Command and Control Channel, T1048 Exfiltration Over Alternative Protocol",4
ADV-7CEF475484,APT,ICS,Medium,"An advanced persistent threat (APT) group targets an industrial control system (ICS) environment, leveraging a multi-stage attack to gain unauthorized access and disrupt operations.","1. Reconnaissance: T1595 Active Scanning | 2. Initial Access: T1566 Phishing, T1078 Valid Accounts | 3. Execution: T1203 Exploitation for Client Execution | 4. Persistence: T1053 Scheduled Task | 5. Command and Control: T1071 Application Layer Protocol | 6. Impact: T1499 Impact",6
